"Health ProtectorGuard - Gen 2 (CA, OR), Gen 3 (PA), Enhanced Gen 3 (all other Gen 3 states)",,,,,,,,
Golden Rule Insurance Company,,,,,,,,
,,,,,,,,
State,Language,Document Type,Plan Type,Application Number,Part Number,Filename,PDF Link,Effective Date
IN,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
KY,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-16,763IKY-G-0625,763IKY-G202506.pdf,763IKY-G202506.pdf,6/20/2025
KY,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-16,764IKY-G-0126,764IKY-G202601.pdf,764IKY-G202601.pdf,1/23/2026
KY,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
KY,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
LA,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-17,763ILA-G-0625,763ILA-G202506.pdf,763ILA-G202506.pdf,6/20/2025
LA,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-17,764ILA-G-0126,764ILA-G202601.pdf,764ILA-G202601.pdf,1/23/2026
LA,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
LA,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
MD,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-19,763IMD-G-0526,763IMD-G202503.pdf,763IMD-G202605.pdf,5/22/2026
MD,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-19,764IMD-G-0526,764IMD-G202503.pdf,764IMD-G202605.pdf,5/22/2026
MD,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
MD,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
ME,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-18,763IME-G-0625,763IME-G202506.pdf,763IME-G202506.pdf,6/20/2025
ME,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-18,764IME-G-0126,764IME-G202601.pdf,764IME-G202601.pdf,1/23/2026
ME,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
ME,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
MI,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-21,763IMI-G-0625,763IMI-G202506.pdf,763IMI-G202506.pdf,6/20/2025
MI,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-21,764IMI-G-0126,764IMI-G202601.pdf,764IMI-G202601.pdf,1/23/2026
MI,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
MI,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
MN,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI,763IMN-G-0625,763IMN-G202506.pdf,763IMN-G202506.pdf,6/20/2025
MN,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-22,764IMN-G-0126,764IMN-G202601.pdf,764IMN-G202601.pdf,1/23/2026
MN,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
MN,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
MO,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-24,763IMO-G-0126,763IMO-G202601.pdf,763IMO-G202601.pdf,1/23/2026
MO,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-24,764IMO-G-0126,764IMO-G202601.pdf,764IMO-G202601.pdf,1/23/2026
MO,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
MO,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
MS,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI,763IMS-G-0625,763IMS-G202506.pdf,763IMS-G202506.pdf,6/20/2025
MS,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-23,764IMS-G-0126,764IMS-G202601.pdf,764IMS-G202601.pdf,1/23/2026
MS,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
MS,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
NC,English,Application,Enhanced HPG - Gen 3,HPG-AP-166R2-GRI-32,763INC-G-0625,763INC-G202506.pdf,763INC-G202506.pdf,6/20/2025
NC,English,Application - Guard,Enhanced HPG - Gen 3,HPG-AP-187-CSTM-GRI-32,764INC-G-0126,764INC-G202601.pdf,764INC-G202601.pdf,1/23/2026
NC,English,Brochure,Enhanced HPG - Gen 3,,52001-G-0526,52001-G202605.pdf,52001-G202605.pdf,5/22/2026
NC,English,Brochure - Guard,Enhanced HPG - Gen 3,,52002-G-0526,52002-G202605.pdf,52002-G202605.pdf,5/22/2026
